commentaire,sentiment,probleme
"Le réseau est totalement inexistant là où j’habite. J’ai signalé une coupure depuis dimanche, toujours pas résolue;",neutre,N/A
"J’en ai acheté un chez Algérie Télécom, chaque jour je dois l’éteindre et le rallumer sinon l’internet ne marche pas. C’est ça le service en Algérie : allumer et éteindre !;",négatif,problème réseau
"Fournissez l’ADSL à Oran, les gens souffrent;",négatif,problème réseau
Débit très faible ??? 4G;,négatif,problème réseau
Internet très lente;,négatif,problème réseau
"J’ai un problème avec l’espace client, je suis allé à l’agence mais ils n’ont pas pu le résoudre. Quelle est la solution ?;",négatif,problème réseau
"On a vieilli sans recevoir l’appareil, alors comment profiter ?;",négatif,offres commerciales
"Depuis deux jours, votre connexion coupe tous les soirs, surtout en Wi-Fi. Ça se déconnecte toutes les minutes, alors qu’avec le câble, ça marche. Et quand j’ai voulu recharger mon modem 4G par paiement électronique, à cause du débit faible, ils m’ont bloqué la carte bancaire en disant qu’il y avait une erreur...;",négatif,problème réseau
"Pourquoi avez-vous plafonné le débit à 4 Mbps, que ce soit avant ou après l’épuisement du volume internet ?;",négatif,problème réseau
"Un mois après l’installation d’internet, toujours pas de connexion. Il n’y a qu’un câble et un modem;",neutre,N/A
"J’ai un problème d’inscription à l’espace client depuis deux mois, j’attends toujours le mail de confirmation, mais il n’arrive pas;",négatif,problème réseau
Algérie Télécom – pourquoi ne pas doubler le volume à 100 Go ?;,positif,N/A
"Ce serait mieux avec un débit de 100 Mbps, et aussi avec un débit réduit à 45 Mbps après épuisement du quota. Ce serait votre meilleure offre, merci à vous;",positif,N/A
"Je reçois 6,5 Mbps alors que je paie pour 20 Mbps;",positif,N/A
"Terminez le projet fibre, il est arrivé devant la maison puis stoppé. On en a marre des coupures ADSL;",négatif,problème réseau
"J’ai 1 Go mais je ne reçois que 40 Mo, quelle est la solution ?;",négatif,problème réseau
"La commune d’Azazga, wilaya de Tizi Ouzou, n’a pas encore reçu la technologie, notamment à Tizi N’Fellaki;",négatif,problème réseau
On attend que Dieu vous guide pour nous mettre la fibre;,positif,N/A
Où est l’internet qui permet d’ouvrir ce test ?;,positif,N/A
Nous attendons la disponibilité de la technologie;,positif,N/A
On attend juste que vous nous changiez le modem;,négatif,problème réseau
"À Constantine, plus de deux semaines sans internet à cause d’une panne et du vol de câbles, mais personne ne réagit;",neutre,N/A
Puis-je augmenter le débit fibre sans me déplacer à l’agence ?;,positif,N/A
On attend que vous nous connectiez à la fibre;,positif,N/A
"On attend, c’est tout;",positif,N/A
"On n’a rien du tout, vous n’êtes jamais venus nous l’installer;",neutre,N/A
Je suis sans téléphone ni internet depuis 3 mois;,neutre,N/A
On attend la disponibilité de la fibre à Bir Touta centre;,positif,N/A
On attend que vous terminiez avec les nouveaux bâtiments;,positif,N/A
"Quel test de fibre optique ? On en entend seulement parler. Dans notre quartier, il y a encore les vieux fils qui se cassent à chaque instant;",neutre,N/A
"Nous sommes sans connexion depuis plus de 4 mois. Nous avons réclamé plusieurs fois, même en agence, mais rien. Et vous dites de tester le débit ?;",neutre,N/A
"Bonjour, je voudrais une réponse d’Algérie Télécom : si je change le modem Nokia par un autre en Wi-Fi 6, aurai-je le même débit (par exemple 50 ou 100 Mbps sur PC) ? Avez-vous des modems Wi-Fi 6 ou des changements à venir ? Merci;",positif,N/A
Qu’est-ce qu’on attend ? On attend la fibre que vous ne voulez pas nous installer;,négatif,problème réseau
"Quand vous réparerez le débit, nous payons pour 200 Mbps et on n’a que 70 Mbps;",négatif,problème réseau
La page ne s’est même pas ouverte. Quel débit est-ce là ?;,neutre,N/A
J’ai 23 Mbps alors que je suis censé en avoir 100;,négatif,problème réseau
On n’a pas internet du tout;,neutre,N/A
Je paie pour 20 Mbps ADSL et je reçois 13 Mbps. Chaque jour je me plains et c’est toujours la même histoire;,négatif,facturation
"Le 1 Gbps, tu ne le vois même pas en rêve;",négatif,problème réseau
"Nous sommes encore avec les câbles en cuivre, une connexion instable, un jour ça marche, un jour non, et tu me parles de tester ?;",négatif,problème réseau
21 Mbps;,positif,N/A
"J’ai la fibre, mais le test montre 11 Mbps, c’est insuffisant;",négatif,problème réseau
"J’attends votre fibre, on a vieilli avec vous;",positif,N/A
"On attend que vous nous installiez la fibre, clairement !;",positif,N/A
"En attendant l’installation du boîtier fibre, ensuite on testera la vitesse. Pour l’instant, on est toujours en ADSL;",négatif,infrastructure
"Kalem Abdelmadjid : ils ont installé pour deux personnes dans notre quartier, et pour nous rien;",neutre,N/A
"Haha, tant que le test fonctionne c’est bon;",positif,N/A
"Si vous restez bloqués dans votre tête, y’a des quartiers sans internet du tout, et vous leur avez mis la fibre. Alors que d’autres, avec des années de service et qui ont eu internet parmi les premiers, vous ne les avez même pas programmés;",positif,N/A
Med Vet : qu’est-ce que tu attends ?;,négatif,offres commerciales
Les habitants des zones rurales vont être frustrés et dégoûtés en voyant cette publicité;,négatif,offres commerciales
Où est la connexion maintenant ?;,négatif,problème réseau
"Abonnement 300 Mbps, mais le test de connexion ne dépasse pas 20 Mbps, quel est le problème ?;",négatif,problème réseau
"Quand la fibre arrivera, que Dieu la bénisse;",négatif,problème réseau
J’attends simplement l’installation de la fibre;,positif,N/A
Quand est-ce que la fibre arrive à Souk El Ténine et au village ? Les tuyaux sont déjà posés;,positif,N/A
Aymene Kralifa : parle-leur du débit qu’on a chez nous;,négatif,problème réseau
Les abonnés ADSL ne sont pas concernés par cela;,neutre,N/A
"300 Mbps théoriques, 28 Mbps en pratique, et pourtant c’est de la fibre optique;",négatif,problème réseau
"1 Gbps comme la 4G ? Quand tu testes, tu vois 00000000 octets ?;",positif,N/A
On attend que vous installiez le câble pour pouvoir tester;,positif,N/A
"Haha, même les 40 Mbps je ne les atteins pas, alors que j’ai soi-disant 50 Mbps;",négatif,problème réseau
"Les utilisateurs ADSL, qu’en est-il ?;",négatif,problème réseau
"Ça atteint 945 Mbps et 55 Mbps, où est-ce qu’on peut voir ça dans les abonnements ?;",négatif,problème réseau
"Je paie pour 20 Mbps et je reçois 12 Mbps, malgré le passage de l’équipe technique, en vain;",négatif,facturation
"Pourquoi avez-vous divisé un quartier en deux ? Une ruelle a reçu la fibre, l’autre pas programmée du tout;",neutre,N/A
"Ils ont creusé, laissé le chantier et sont partis depuis presque trois mois;",négatif,infrastructure
Un mois après avoir payé… ils ne sont toujours pas venus;,négatif,facturation
Vous m’avez fait l’installation mais vous ne m’avez pas donné le modem;,neutre,N/A
"On m’a dit début 2024 vous serez connectés, et 2024 est presque finie;",positif,N/A
J’attends qu’on vienne m’installer la fibre… ça fait presque un mois !!;,négatif,problème réseau
"Je viens de faire le test, je suis à 2 Mbps, et je paie pour 20 Mbps;",neutre,N/A
"Pas d’argent, 15 Mbps c’est déjà un peu cher;",négatif,problème réseau
"Très faible. Nous attendons la connexion de la fibre optique. Les câbles ont été posés, les boîtiers installés. Il ne reste plus que le raccordement. Quand pourrons-nous enfin profiter du service ? (Cité Yahiaoui, commune de Sétif);",négatif,problème réseau
Je n’ai plus que 1500;,négatif,offres commerciales
J’ai fait un test et j’ai obtenu 400 Ko/s;,positif,N/A
J’ai un abonnement 300 = 45;,positif,N/A
"Entreprise défaillante, ils se moquent des gens : 6 mois sans modems;",négatif,problème réseau
"Regardez votre injustice : 0,43 Mbps, même pas 1 Mbps;",négatif,problème réseau
Fibre ou ADSL ?;,négatif,problème réseau
Faites-nous la fibre par pitié;,positif,N/A
"J’ai fait un test, au lieu des 20 Mbps que je paie, je reçois 460 Kbps;",positif,N/A
"3,30 Mbps sachant que je paie pour 20 Mbps;",positif,N/A
"Download Mbps : 21,61 - Upload Mbps : ... Voir plus;",positif,N/A
"J’ai testé le débit et j’ai trouvé 130 Ko/s alors que je paie pour 20 Mbps. Si tu réclames, ils te disent 'jusqu’à 20' pas '20', donc 5% de ce que tu paies c’est normal pour eux;",positif,N/A
Nous souhaitons exprimer notre mécontentement quant à la qualité du service fourni par Algérie Télécom. Nous espérons une amélioration des performances et la résolution des problèmes actuels pour offrir un service à la hauteur des attentes. Merci pour votre compréhension et votre engagement à vous améliorer.;,négatif,problème réseau
Nous souffrons depuis trois mois de la coupure d’internet et du téléphone fixe depuis l’installation de la fibre. Nous avons contacté tous les services.;,négatif,problème réseau
10 Mbps !;,positif,N/A
100 Kbps;,positif,N/A
Idoom 4G;,négatif,problème réseau
"Je paie pour 20 Mbps, je reçois 15 Mbps;",positif,N/A
4G;,positif,N/A
ADSL;,positif,N/A
"Quand la fibre arrivera à la maison, ce sera plus facile. Pour l’instant on est en 144p, ça coupe tout le temps;",positif,N/A
Merci Algérie Télécom;,positif,N/A
Changez-nous le modem;,positif,N/A
"Quand ils nous installeront Idoom Fibre, ce sera bien. Pour l’instant on se bat avec l’ADSL : un jour ça marche, un jour non;",négatif,problème réseau
"Les vieux quartiers, peut-être dans 50 ans qu’on aura la fibre;",positif,N/A
"L’internet va et vient toutes les heures, on ne peut ni regarder ni jouer à rien. On en a marre de l’ADSL, c’est un calvaire;",négatif,problème réseau
"Où est le modem ? À Constantine, il est indisponible (Algérie Télécom);",négatif,problème réseau
"Quand vous augmenterez le débit d’Idoom 4G à 100 Mbps, on parlera et on testera;",positif,N/A
"Mon cher monsieur, j’ai fait la demande en novembre 2022, à ce jour rien. Chaque fois qu’on y va, ils disent que le boîtier est plein. Pourtant une partie de la zone est déjà connectée à la fibre;",négatif,problème réseau
"Mon modem a grillé, j’ai besoin d’un autre. Ils m’ont dit qu’il n’y en a pas. Quelle est la solution ?;",négatif,problème réseau
"Pas grave, raccordez-nous à la fibre, le reste c’est facile après;",positif,N/A
"Il me semble que vous m’envoyez 15 Ko, il n’y a presque rien;",neutre,N/A
La fibre sera disponible en 2050 peut-être;,positif,N/A
"Ceux qui reçoivent ce débit, qu’ils postent une capture dans les commentaires. Honnêtement, ce débit n’existe pas;",positif,N/A
"Toute la journée sans internet à Jnane Mabrouk, Bach Djarrah. On ne sait pas d’où ils viennent, s’ils ont réparé ou non. On n’a rien su;",neutre,N/A
On dirait l’époque avant Jésus-Christ. L’internet est instable et très mauvais;,négatif,problème réseau
Comment profiter des offres alors que nous ne sommes pas concernés ? Et les travaux pour la fibre avancent très lentement !;,neutre,N/A
"Donnez-nous l’internet, pour l’amour de Dieu;",positif,N/A
On peut dire qu’on a passé une année sans raccordement;,négatif,problème réseau
Ils disent qu’il n’y a pas de boîtiers de distribution pour la fibre;,négatif,problème réseau
"Quand ce sera le bon moment, Dieu nous soulagera;",positif,N/A
Nous n’avons pas la fibre;,neutre,N/A
"Je souhaite savoir s’il y a un suivi juridique pour une personne n’ayant pas payé d’anciennes factures du téléphone fixe avec Algérie Télécom, sachant qu’elle utilisait les appels ? Merci;",positif,N/A
J’ai une question;,négatif,problème réseau
"S’il vous plaît, quand les modems fibre seront-ils disponibles ? Ils sont complètement introuvables;",neutre,N/A
"Algérie Télécom à Guelma dort... ça fait maintenant un an qu’ils ont creusé, et rien. Aucun signe de vie;",neutre,N/A
Est-ce que le modem est disponible dans votre agence ?;,positif,N/A
"Bonjour, pourquoi je ne peux pas consulter mes recharges internet sur l’espace client ? C’est notre droit !;",positif,N/A
"Commune de Azzazga, wilaya de Tizi Ouzou, précisément à Tizi n’Fliqi, la fibre n’est pas encore arrivée;",négatif,problème réseau
"Le 5 juillet, des agents d’Algérie Télécom sont venus pour installer la fibre. Ils ont pris les dossiers. Depuis, rien. Tout est prêt, il ne reste que le raccordement;",négatif,infrastructure
"Le câble principal de fibre optique du quartier traîne au sol depuis deux mois. Signalé à l’agence, mais aucune réaction;",neutre,N/A
Quelqu’un bosse dans une entreprise ? Je n’ai pas trouvé où faire mon stage;,négatif,problème réseau
Deux mois sans ligne;,neutre,N/A
"Le problème est dans la maintenance : une fois coupée, elle reste. Soit ils ne viennent pas, soit ils disent que la prise n’est pas disponible, soit…;",négatif,problème réseau
"Algérie Télécom ? Catastrophe. Je paie 20 Go et je reçois seulement 16, jamais 18 ou plus. Après réclamations à l’agence, ils répondent 'jusqu’à 20 Go, pas 20'. Allah yahdikum.;",négatif,problème réseau
"Quand vous augmenterez le débit d’Idoom 4G à 100 Mbps, on pourra parler et tester;",positif,N/A
"Service... Un mois sans internet, on attend toujours un contact ou une solution. Aucune réaction;",négatif,problème réseau
Connexion trop lourde dans ma vie;,négatif,problème réseau
"Grâce à votre ADSL, on passe un super week-end;",positif,N/A
Et la 4G ? Voilà 4 mois qu’elle est absente dans la wilaya de Djelfa;,négatif,problème réseau
"La commune de Tayebate est une grande catastrophe en termes de débit ADSL. Tu paies pour 10 ou 15, tu trouves 1 méga;",négatif,problème réseau
Quand la fibre optique sera-t-elle généralisée dans la ville de Oum El Bouaghi ?;,positif,N/A
"Quand Dieu vous guidera et que vous nous installerez la fibre… Avec les câbles en cuivre, c’est une galère;",négatif,problème réseau
"L’équipe technique à Blida est hors service. Nous avons signalé une coupure de téléphone et internet depuis dix jours, toutes les 48h. Nous avons même parlé au chef de service, en vain. C’est une catastrophe dans tous les sens du terme. Celui qui ne peut pas assumer ses responsabilités doit partir;",négatif,problème réseau
La connexion est coupée depuis trois jours;,négatif,problème réseau
"Dix jours sans internet ?! Tu veux comprendre, tu deviens fou. Wilaya d’El Tarf : chaque jour c’est 'je viens, je suis venu, ils arrivent'… rien. Zéro fibre. Ils ne trouvent pas le problème. Le quartier est bloqué. Tu vas te plaindre, ils ne peuvent même pas venir. Faut aller les chercher. Triste réalité;",négatif,problème réseau
"Aucun plaisir, rien du tout. Ça fait 3 mois sans ligne fixe ni internet ici à Es-Senia, cité Raïs Cherif Yahia, Oran. On a appelé plusieurs fois, personne n’est venu;",négatif,problème réseau
"Khenchela est une grande catastrophe en matière de débit. Quand tu demandes, ils te disent que la fibre optique arrive;",négatif,problème réseau
"Bonjour, si je veux installer le Wi-Fi fibre, combien de temps cela prendra-t-il ?;",positif,N/A
"Pas de connexion, pourquoi ?;",neutre,N/A
"Fournissez-nous des modems à Skikda, tout est en retard;",négatif,problème réseau
"Le modem 4G, toute la famille souffre avec, surtout le week-end;",négatif,problème réseau
"Le prix de l’abonnement est devenu trop élevé, on n’arrive plus à suivre. Ayez pitié du peuple;",négatif,problème réseau
"S’il vous plaît, je me suis trompé de numéro de téléphone pour une recharge, j’ai rechargé un autre numéro par erreur. J’ai appelé, c’est un faux numéro. Quelle est la solution ?;",négatif,autre
"Bonjour, pourquoi vous n’avez pas baissé le prix des anciens abonnements à 15 ?;",positif,N/A
Sans commentaire. Cinq mois sans internet ni téléphone;,neutre,N/A
Bonne connexion ? Il n’y en a pas du tout ni avec Idoom ni chez moi !;,neutre,N/A
"Je la consomme petit à petit, mais c’est encore trop cher : 20 Mo à 1600 DA, c’est correct;",positif,N/A
"Petite question : si je prends un abonnement 20 ou 50 méga, puis-je payer tous les 10 jours ou c’est pour un mois complet ?;",positif,N/A
Connexion catastrophique depuis des mois;,négatif,problème réseau
"Modem 4G, la vitesse ne dépasse pas 4 Mbps. Pourquoi ?;",neutre,N/A
"Avec l’ADSL et les coupures et les pertes, on passe toujours un week-end noir. Vous nous avez fait boire la misère. On en a marre de vous;",négatif,problème réseau
24h sans connectivité FTTH. J’ai fait une réclamation mais le problème n’est toujours pas résolu. On paie tellement cher pour un service lamentable;,négatif,problème réseau
"Modem 4G, il fatigue, ça fait deux jours;",négatif,problème réseau
"Actuellement, comme d’habitude, des coupures internet. Fibre optique 500 méga;",négatif,problème réseau
"Bonjour, y a-t-il du nouveau concernant la convention signée entre votre ministère et celui de l’Éducation nationale pour le changement de tarifs ? Vous avez signé une convention sur les anciens prix, mais depuis la modification, rien n’a changé. Merci;",neutre,N/A
"Bonjour, à propos des demandes de modem 4G, partout on nous dit que ce n’est pas disponible. Expliquez-nous ce qui se passe, où est le problème ?;",négatif,problème réseau
Catastrophes depuis mercredi à Témouchent. Rien du tout;,négatif,problème réseau
"Donnez-nous un modem fibre, ça fait un mois que j’attends;",positif,N/A
"Et le débit coule goutte à goutte. Ne me dites pas 'veuillez nous contacter en privé pour fournir vos informations', c’est comme voir un noyé et lui demander ce qu’il a;",neutre,N/A
Je veux comprendre pourquoi la connexion se coupe à cette heure précise avec le modem 4G LTE;,négatif,problème réseau
THE BEST;,positif,N/A
"Par pitié, venez juste nous l’installer;",positif,N/A
"J’ai fait une demande pour augmenter le débit de 15 à 50 Mbps en fibre optique depuis 3 jours, toujours rien;",neutre,N/A
"Comment passer du temps en famille quand l’internet est là !! Et encore, si elle marchait bien;",positif,N/A
"J’ai payé le Wi-Fi, la connexion n’est jamais venue. Chaque fois qu’on va chez Algérie Télécom, ils nous disent que c’est réglé alors que rien ne fonctionne. Que faire ?;",négatif,problème réseau
J’ai un modem et je veux connecter internet à la maison. Quelles sont les démarches nécessaires ?;,positif,N/A
Ce serait bien d’augmenter la vitesse et pas juste le volume;,positif,N/A
Merci pour votre gentillesse et votre soutien. Bon courage pour votre travail;,positif,N/A
Quels sont les remises s’il vous plaît ?;,positif,N/A
Respectez un peu notre intelligence… Le modem 4G LTE est indisponible depuis plus d’un an…;,neutre,N/A
Améliorez le débit internet avant de parler de volume. Nous sommes avec vous;,positif,N/A
J’ai besoin d’un modem. Est-il disponible ou pas ?;,positif,N/A
Bonsoir. Hytham Dergham. Offre 4G à 4500 DA incluant un modem + 150 Go de volume internet offert. Valable 30 jours. Accès illimité au réseau et aux réseaux sociaux avec débit réduit après consommation du forfait. Pour souscrire à l’offre 4G;,positif,N/A
Pourquoi vous ne proposez pas une puce spéciale pour le téléphone vu la qualité exceptionnelle de vos services ?;,positif,N/A
"J’ai rechargé un modem 4G, internet fonctionne mais le téléphone fixe ne marche pas;",négatif,problème réseau
"Malheureusement, on ne peut pas obtenir un haut débit comme avec la fibre sur Idoom 4G LTE. La vitesse reste la même sauf si l’antenne n’est pas surchargée, ce qui est rare car chaque antenne est saturée par des milliers de connexions;",négatif,problème réseau
"À quoi sert un gros volume si le débit est faible ? J’ai activé l’offre 1 To, 700 Go sont partis pour rien;",négatif,problème réseau
"Je suis prêt à prendre 1 To, mais où est l’internet ? Je dépasse à peine 1 Mbps;",négatif,problème réseau
Le modem est-il disponible ?;,négatif,problème réseau
"À partir de 15h, les messages ne passent pas. À 3h du matin, ça vole quand on dort;",négatif,problème réseau
J’ai pris l’offre à 3500 DA et je n’ai reçu que 40 Go. Alors que vous dites 90 Go. Où est le problème ?;,négatif,offres commerciales
Le service 4G est totalement absent dans toute la commune depuis deux jours;,neutre,N/A
"Fournissez les appareils. J’ai fait une demande depuis le 16 avril, toujours pas de contact pour la réception;",neutre,N/A
Avec un débit qui n’atteint même pas un demi méga dans les meilleures conditions. Un débit catastrophique;,négatif,problème réseau
Augmentez-nous la vitesse et ajoutez des gigas. On en a marre des 73 kb/s. Ou bien on n’est pas des êtres humains juste parce qu’on n’a pas la fibre dans les zones reculées ?;,négatif,problème réseau
Réglez-nous le débit. Arrêtez votre baratin;,positif,N/A
Je suis sans connexion depuis juin. Faites votre travail pour l’amour de Dieu;,neutre,N/A
Pourquoi fixer la vitesse à 4 Mbps alors que j’ai payé 2500 DA hier ?;,négatif,problème réseau
J’ai besoin d’un modem. Est-il disponible ?;,positif,N/A
"La couverture n’est pas disponible à Metlili, Ghardaïa;",négatif,problème réseau
"Le réseau est faible, faites un effort;",négatif,problème réseau
"Un débit de 70 ko/s, ce n’est pas logique;",négatif,problème réseau
"S’il vous plaît, quelles sont les démarches et les documents nécessaires pour changer d’adresse et transférer le dossier ? Et combien de temps cela prend ?;",positif,N/A
Le problème n’est pas dans le volume internet mais dans la faiblesse du débit;,négatif,problème réseau
Deux jours sans service 4G;,négatif,problème réseau
Quel est son prix ?;,négatif,offres commerciales
J’ai payé et rien. C’est quoi ça ?;,neutre,N/A
"Mon frère, cela fait presque un mois sans internet. Le débit est très faible;",négatif,problème réseau
"Je veux changer le mot de passe du Wi-Fi, est-ce possible ?;",positif,N/A
"Bonjour, j’ai une préoccupation s’il vous plaît;",positif,N/A
"Ça fait une semaine que je l'ai rechargé et il s'est coupé en deux jours, où est le problème ? ;",négatif,facturation
Cet appareil est-il disponible à Aïn Defla s'il vous plaît ? ;,positif,N/A
"Réglez le problème d'abord, ensuite faites la promotion. ;",positif,N/A
"Aïn Ouyoun, wilaya de Tébessa... on paie dans le vide !!! ;",négatif,offres commerciales
Est-ce que le modem est disponible ? ;,positif,N/A
"Svp l'Internet fibre optique qui coupe souvent un désagrément insupportable ; Svp régler ce problème, un client de Annaba ;",négatif,problème réseau
"J'ai un problème avec l'Espace client, je ne peux pas accéder à mon compte ?? Algérie Télécom - إتصالات الجزائر ;",négatif,problème réseau
"Ça fait deux mois que je n’ai ni téléphone ni Internet, tout est en panne et personne ne réagit, ni le service technique de Bordj El Bahri ni la direction générale n'ont résolu le problème malgré plusieurs réclamations. ;",neutre,N/A
"Quand vous monterez le débit de l'Idoom 4G à 100 méga, on en reparlera et on fera des tests. ;",positif,N/A
Le modem est indisponible chez vous. ;,négatif,problème réseau
Vous ne vous êtes toujours pas réveillés ? Quel est l'intérêt de payer plus de 1000 DA si le débit est entre 200 kbps et 300 kbps ? ;,positif,N/A
La vitesse est lente. ;,neutre,N/A
Quand allez-vous baisser les prix pour les abonnés ADSL 10 mégas ? ;,négatif,problème réseau
"On dit toujours augmentez la vitesse Internet puis faites des offres. C’est honteux, nous sommes en 2024 et nous souffrons encore d'une mauvaise connexion. ;",négatif,problème réseau
Le nouveau modem à 14 200 DA est-il disponible ou pas ? ;,négatif,problème réseau
Je ne peux pas accéder à l’Espace client. ;,neutre,N/A
"J’ai demandé l’augmentation de mon débit de 15 à 50 mégas fibre optique il y a deux jours, mais cela n’a pas encore été effectué. ;",négatif,problème réseau
"Malheureusement, j’ai payé pour une nouvelle ligne et on m’a dit d’attendre qu’on me contacte. Aujourd’hui, c’est le cinquième jour sans aucun appel ni suite, wilaya de Relizane. ;",neutre,N/A
Le modem est introuvable à Batna depuis 4 mois. ;,neutre,N/A
Qui connaît quelqu’un pour me prêter une connexion modem ? ;,positif,N/A
"Votre Internet est une catastrophe. Depuis hier, elle ne dépasse pas 4 mégas. ;",négatif,problème réseau
Avez-vous résolu le problème d’activation sur le site client ? Ça fait presque deux mois et toujours aucune solution. ;,négatif,problème réseau
Quel est le prix de 1 To ? ;,positif,N/A
"Ils nous ont coupé le fixe, remettez-nous le réseau. ;",positif,N/A
Incompréhensible. ;,négatif,offres commerciales
"Donnez le modem, après ça sera facile. ;",positif,N/A
C’est vraiment n’importe quoi. ;,neutre,N/A
"Franchement, c’est une catastrophe, le débit est très faible. ;",négatif,problème réseau
"Algérie Télécom - إتصالات الجزائر, y a-t-il des nouvelles concernant le modem 4G ? On en a marre d’attendre. ;",négatif,problème réseau
Augmentez le débit puis parlez. ;,positif,N/A
"J’ai pris l’offre à 1000 DA hier et ma connexion n’atteint même pas 1 méga, quelle est la solution ? ;",négatif,offres commerciales
"Venez réparer Internet à Sefsaf, on est perdus, on est à l’âge de pierre. L’éducation de nos enfants est en jeu, ayez pitié. ;",négatif,problème réseau
"J’ai un problème, le modem est activé mais ne fonctionne pas, une solution ? ;",négatif,problème réseau
Est-il possible de rester à 10 mégas fibre au lieu de passer à 15 mégas ? Je suis toujours à 10 mégas ADSL et je n’ai pas demandé le changement. ;,neutre,N/A
"Est-ce que cet appareil fonctionne sans câble, c’est-à-dire en mode sans fil ? ;",positif,N/A
"Un volume de 1 To pour un débit de 200 ko/s, à quoi ça sert ? ;",négatif,problème réseau
La connexion saute et est quasiment absente. ;,neutre,N/A
Omar Anane ;,positif,N/A
"S’il vous plaît, comment bénéficier d’un modem 4G ? Il est indisponible à l’agence. Puis-je en obtenir un d’une autre wilaya ? ;",négatif,problème réseau
"Ce produit est uniquement sur votre page, en agence il est indisponible depuis des mois, notamment à Ghardaïa. ;",neutre,N/A
Le modem est indisponible à l’agence de Bordj Bou Arreridj depuis longtemps. ;,neutre,N/A
"À Témouchent, il n’y a plus de couverture depuis mercredi. ;",neutre,N/A
"S’il vous plaît, j’ai demandé Internet à domicile depuis longtemps mais toujours rien, pas même une annonce de service jusqu’à présent ??? ;",neutre,N/A
Où est la couverture ? ;,positif,N/A
Quelles sont ces offres pour le modem 4G ? ;,positif,N/A
"Algérie Télécom - إتصالات الجزائر, y a-t-il des modems disponibles ? À Annaba, il y a une coupure totale dans toutes les agences pour la 4G et la fibre. Veuillez répondre. ;",négatif,problème réseau
Le problème ne vient pas du volume mais du débit. ;,négatif,problème réseau
Yacine Farok ;,négatif,problème réseau
"Franchement, je ne comprends pas, ils nous prennent pour des idiots ou quoi ? Tous les commentaires vous disent que le débit est faible, c’est-à-dire que la vitesse est nulle. On vous explique, Algérie Télécom, quand votre débit est faible, ça veut dire qu’un simple visionnage YouTube ne passe pas, envoyer un message sur Messenger ne passe pas, et vous, vous dites… ;",négatif,problème réseau
Djaber Elgharbi ;,positif,N/A
"Merci, Algérie Télécom - إتصالات الجزائر ;",positif,N/A
"On est coincés avec Internet. On vous contacte depuis des mois, sans réponse… aucun contrôle sur vos employés… ;",négatif,problème réseau
"J’ai activé le service de recharge d’urgence sur le téléphone, vous dites que c’est activé mais en réalité, il n’y a pas d’Internet. ;",négatif,problème réseau
"Et nous qui avons l'offre 300 mégas, on reçoit à peine 50, quelle est la solution ? ;",négatif,offres commerciales
Mon compte sur l’application My Idoom ne fonctionne plus depuis longtemps malgré de nombreuses réclamations. ;,négatif,problème réseau
"On est coincés, 15 jours sans Internet malgré de nombreuses réclamations. ;",négatif,problème réseau
Le numéro 1500 ne fonctionne pas. ;,négatif,problème réseau
"Nous avons besoin de la fibre, vous êtes en retard. ;",négatif,problème réseau
"Waouh, tu es génial… y’a pas de connexion du tout, réglez-nous la situation. ;",positif,N/A
L’application ne fonctionne plus depuis longtemps. ;,négatif,autre
Fournissez les modems. ;,positif,N/A
"My Idoom ne fonctionne pas du tout, il est en panne depuis longtemps. ;",négatif,problème réseau
Mais ils vont vous la retirer dès le mois prochain quand vous payerez. ;,négatif,facturation
L’application My Idoom ne fonctionne pas. ;,négatif,problème réseau
"L’Espace client pose un gros problème, depuis que j’ai changé de ligne téléphonique je ne peux plus y accéder, malgré mes nombreux contacts avec vous et vos agences, sans résultat. ;",négatif,problème réseau
Pourquoi ce service n’est-il pas disponible avec Idoom 4G !!!!! ;,positif,N/A
Meilleure prestation. ;,positif,N/A
"Dans l’application My Idoom, le service client ne fonctionne pas, pourquoi ? ;",négatif,problème réseau
Pas de couverture Internet fibre dans notre quartier. ;,neutre,N/A
"Pas d’Internet ni de téléphone, on a fait plusieurs réclamations sans solution. ;",négatif,problème réseau
L’application ne fonctionne pas. ;,négatif,autre
"Bonjour, je cherche à acheter un modem fibre, quels sont les documents nécessaires et combien ça me coûtera ? ;",positif,N/A
Parlez-nous de la fibre et du problème de non-disponibilité des modems malgré la fin des travaux de raccordement. ;,négatif,problème réseau
La fonction Espace client dans l’application ne s’ouvre pas. ;,neutre,N/A
"Fournissez les modems, pourquoi ce retard ? Un mois passe, un autre sans aucune nouveauté. ;",neutre,N/A
"Et le modem, quand allez-vous le fournir ? Ça fait 20 jours que j’ai demandé une ligne téléphonique + modem et toujours rien. ;",négatif,problème réseau
"Je suis sans connexion depuis 10 jours, le modem ne capte pas le réseau. ;",négatif,problème réseau
"Bonjour, quelqu’un connaît une personne qui prête une connexion (modem), envoyez en privé. ;",positif,N/A
"Je n’ai pas pu augmenter le débit, le service est hors-service. ;",négatif,problème réseau
"Quand Internet sera disponible, on en parlera. ;",positif,N/A
"On veut en finir avec le faible réseau et le manque de débit, le reste est facile. Je parle de la 4G LTE d’Algérie Télécom. ;",neutre,N/A
"Quand vous nous installerez la fibre, on parlera ensuite. ;",positif,N/A
Est-ce que ceci est pour l'opérateur 4G ou ADSL ? ;,négatif,problème réseau
