commentaire,commentaire_nettoye,commentaire_spacy,lemmes,tokens_utiles,sentiment,probleme
Je paie pour 300 mégas et je ne reçois même pas 100 mégas ;,Je paie pour 300 mégas et je ne reçois même pas 100 mégas,Je paie pour 300 mégas et je ne reçois même pas 100 mégas,payer 300 méga-octet recevoir 100 méga-octet,paie 300 mégas reçois 100 mégas,négatif,facturation
"Service technique faible, je paie sans avoir Internet ni téléphone. Est-ce que l’entreprise va nous compenser ces catastrophes ? ;","Service technique faible, je paie sans avoir Internet ni téléphone. Est-ce que l’entreprise va nous compenser ces catastrophes ?","Service technique faible, je paie sans avoir Internet ni téléphone. Est-ce que l’entreprise va nous compenser ces catastrophes ?",service technique faible payer internet téléphone -ce entreprise compenser catastrophe,service technique faible paie internet téléphone -ce entreprise compenser catastrophes,négatif,problème réseau
"Faites-nous la fibre, on en a marre, chaque jour un ping de 999 ;","Faites-nous la fibre, on en a marre, chaque jour un ping de 999","Faites-nous la fibre, on en a marre, chaque jour un ping de 999",faites nous fibre marre jour ping 999,faites -nous fibre marre jour ping 999,négatif,problème réseau
"Quand vous nous installez, après Sahel 1er mai, il y a un ruisseau et il y a Belouizdad côté ouest, y’a pas de repos, sans fin ;","Quand vous nous installez, après Sahel 1er mai, il y a un ruisseau et il y a Belouizdad côté ouest, y’a pas de repos, sans fin","Quand vous nous installez, après Sahel 1er mai, il y a un ruisseau et il y a Belouizdad côté ouest, y’a pas de repos, sans fin",installer sahel premier mai ruisseau belouizdad côté ouest y’ repos fin,installez sahel 1er mai ruisseau belouizdad côté ouest y’ repos fin,positif,
On souffre avec la connexion fibre ici ;,On souffre avec la connexion fibre ici,On souffre avec la connexion fibre ici,souffrir connexion fibr ici,souffre connexion fibre ici,négatif,problème réseau
Réseau faible et absence de mesures ;,Réseau faible et absence de mesures,Réseau faible et absence de mesures,réseau faible absence mesure,réseau faible absence mesures,négatif,problème réseau
"J’ai arrêté de jouer à cause de vous, lag spikes et perte de paquets, vous nous avez gâché la vie, je stagne en bronze au classement ;","J’ai arrêté de jouer à cause de vous, lag spikes et perte de paquets, vous nous avez gâché la vie, je stagne en bronze au classement","J’ai arrêté de jouer à cause de vous, lag spikes et perte de paquets, vous nous avez gâché la vie, je stagne en bronze au classement",arrêter jouer cause lag spike perte paquet avoir gâcher vie stagner bronze classement,arrêté jouer cause lag spikes perte paquets avez gâché vie stagne bronze classement,négatif,offres commerciales
"Mettez-nous au moins le VDSL, c’est beaucoup ;","Mettez-nous au moins le VDSL, c’est beaucoup","Mettez-nous au moins le VDSL, c’est beaucoup",mettez nous vdsl beaucoup,mettez -nous vdsl beaucoup,positif,
"Ils nous ont laissés sans venir nous installer ça depuis 3 mois, pourquoi ce retard ?!! Sahouala ;","Ils nous ont laissés sans venir nous installer ça depuis 3 mois, pourquoi ce retard ?!! Sahouala","Ils nous ont laissés sans venir nous installer ça depuis 3 mois, pourquoi ce retard ?!! Sahouala",laisser venir installer 3 mois retard sahouala,laissés venir installer 3 mois retard sahouala,négatif,infrastructure
Clients depuis plus de 20 ans sans fibre ; les clients d'une semaine ont la fibre. Algérie Télécom... ;,Clients depuis plus de 20 ans sans fibre ; les clients d'une semaine ont la fibre. Algérie Télécom...,Clients depuis plus de 20 ans sans fibre ; les clients d'une semaine ont la fibre. Algérie Télécom...,client 20 an fibre client semaine fibre algérie télécom,clients 20 ans fibre clients semaine fibre algérie télécom,négatif,problème réseau
Faites-nous parvenir la fibre et nous irons jusqu’à 1 giga ;,Faites-nous parvenir la fibre et nous irons jusqu’à 1 giga,Faites-nous parvenir la fibre et nous irons jusqu’à 1 giga,faites nous parvenir fibre aller jusqu’ 1 giga-octet,faites -nous parvenir fibre irons jusqu’ 1 giga,positif,
"Pourquoi dois-je ajouter 20 000 DA pour passer à un débit supérieur ? Réglez d’abord le débit faible et donnez-nous nos 20 mégas réels, pas des blagues. On n’a même pas besoin d’augmenter le débit ;","Pourquoi dois-je ajouter 20 000 DA pour passer à un débit supérieur ? Réglez d’abord le débit faible et donnez-nous nos 20 mégas réels, pas des blagues. On n’a même pas besoin d’augmenter le débit","Pourquoi dois-je ajouter 20 000 DA pour passer à un débit supérieur ? Réglez d’abord le débit faible et donnez-nous nos 20 mégas réels, pas des blagues. On n’a même pas besoin d’augmenter le débit",devoir je ajouter 20 000 passer débit supérieur régler débit faible donner nous 20 méga-octet réel blague besoin augmenter débit,dois -je ajouter 20 000 passer débit supérieur réglez débit faible donnez -nous 20 mégas réels blagues besoin augmenter débit,négatif,facturation
"J’ai une offre 300 mégas et je ne reçois que 70 mégas, où est le problème ? ;","J’ai une offre 300 mégas et je ne reçois que 70 mégas, où est le problème ?","J’ai une offre 300 mégas et je ne reçois que 70 mégas, où est le problème ?",offre 300 méga-octet recevoir 70 mégas problème,offre 300 mégas reçois 70 mégas problème,négatif,offres commerciales
"Si je trouve comment revenir à l’ancien débit, je le ferai. J’étais à 15 mégas, je suis monté à 20 mégas, c’est pareil voire pire ;","Si je trouve comment revenir à l’ancien débit, je le ferai. J’étais à 15 mégas, je suis monté à 20 mégas, c’est pareil voire pire","Si je trouve comment revenir à l’ancien débit, je le ferai. J’étais à 15 mégas, je suis monté à 20 mégas, c’est pareil voire pire",trouver revenir ancien débit ferai 15 méga-octet monter 20 méga-octet pareil voire pire,trouve revenir ancien débit ferai 15 mégas monté 20 mégas pareil voire pire,négatif,autre
Normalement c’est 50 M pour 1900 DA ;,Normalement c’est 50 M pour 1900 DA,Normalement c’est 50 M pour 1900 DA,normalement 50 m 1900,normalement 50 m 1900,positif,
Ça c’est les vraies offres ;,Ça c’est les vraies offres,Ça c’est les vraies offres,vraie offre,vraies offres,positif,
"J’avais 15 mégas, j’atteignais 11 mégas. Je l’ai montée à 20 mégas, maintenant ça atteint 13 mégas ??? ;","J’avais 15 mégas, j’atteignais 11 mégas. Je l’ai montée à 20 mégas, maintenant ça atteint 13 mégas ???","J’avais 15 mégas, j’atteignais 11 mégas. Je l’ai montée à 20 mégas, maintenant ça atteint 13 mégas ???",15 mégas atteignai 11 mégas monter 20 méga-octet atteindre 13 méga-octet,15 mégas atteignais 11 mégas montée 20 mégas atteint 13 mégas,positif,
"J’ai un abonnement 20 mégas, j’en reçois 13. Si j’ajoute 200 dinars ça devient 10 mégas. Laissez comme c’est, je vous en prie ;","J’ai un abonnement 20 mégas, j’en reçois 13. Si j’ajoute 200 dinars ça devient 10 mégas. Laissez comme c’est, je vous en prie","J’ai un abonnement 20 mégas, j’en reçois 13. Si j’ajoute 200 dinars ça devient 10 mégas. Laissez comme c’est, je vous en prie",abonnemer 20 méga-octet reçoi 13 ajouter 200 dinar devenir 10 méga-octet laisser prie,abonnement 20 mégas reçois 13 ajoute 200 dinars devient 10 mégas laissez prie,neutre,
"Je l’ai montée de 15 à 20 mégas, je reçois 12. N’augmentez pas, je ne sais pas où est le problème, pourtant j’ai déposé une réclamation et j’ai été contacté par Algérie Télécom, ils m’ont confirmé qu’ils allaient résoudre le problème, en vain ;","Je l’ai montée de 15 à 20 mégas, je reçois 12. N’augmentez pas, je ne sais pas où est le problème, pourtant j’ai déposé une réclamation et j’ai été contacté par Algérie Télécom, ils m’ont confirmé qu’ils allaient résoudre le problème, en vain","Je l’ai montée de 15 à 20 mégas, je reçois 12. N’augmentez pas, je ne sais pas où est le problème, pourtant j’ai déposé une réclamation et j’ai été contacté par Algérie Télécom, ils m’ont confirmé qu’ils allaient résoudre le problème, en vain",monter 15 20 méga-octet recevoir 12 augmenter savoir problème pourtant déposer réclamation être contacter algérie télécom confirmer résoudre problème vain,montée 15 20 mégas reçois 12 augmentez sais problème pourtant déposé réclamation été contacté algérie télécom confirmé résoudre problème vain,négatif,problème réseau
Y a-t-il une meilleure offre pour les abonnés ADSL 20 mégas ? ;,Y a-t-il une meilleure offre pour les abonnés ADSL 20 mégas ?,Y a-t-il une meilleure offre pour les abonnés ADSL 20 mégas ?,-t il meilleur offre abonné adsl 20 méga-octet,-t -il meilleure offre abonnés adsl 20 mégas,positif,
Plus d’une semaine sans Internet… le téléphone fonctionne mais pas Internet ;,Plus d’une semaine sans Internet… le téléphone fonctionne mais pas Internet,Plus d’une semaine sans Internet… le téléphone fonctionne mais pas Internet,semaine internet téléphone fonctionner internet,semaine internet téléphone fonctionne internet,neutre,
Merci beaucoup ;,Merci beaucoup,Merci beaucoup,beaucoup,beaucoup,positif,
"Et pour dire qu’une offre est bonne et réussie à 100 %, il faut baisser les prix. Par exemple : 1600 devient 1100 ;","Et pour dire qu’une offre est bonne et réussie à 100 %, il faut baisser les prix. Par exemple : 1600 devient 1100","Et pour dire qu’une offre est bonne et réussie à 100 %, il faut baisser les prix. Par exemple : 1600 devient 1100",offre bon réussir 100 falloir baisser prix exemple 1600 devenir 1100,offre bonne réussie 100 faut baisser prix exemple 1600 devient 1100,positif,
"À chaque fois on ajoute 20 et on monte le débit. On ajoute encore des vingt, mais le débit reste le même ;","À chaque fois on ajoute 20 et on monte le débit. On ajoute encore des vingt, mais le débit reste le même","À chaque fois on ajoute 20 et on monte le débit. On ajoute encore des vingt, mais le débit reste le même",fois ajouter 20 monte débit ajouter débit,fois ajoute 20 monte débit ajoute débit,positif,
"Qu’est-ce qu’on va faire ? Tout le quartier est sans Internet alors qu’on a payé l’abonnement mensuel. La coupure dure depuis une semaine. On les contacte, ils disent qu’ils travaillent sur le problème, mais rien, pas d’équipe technique ;","Qu’est-ce qu’on va faire ? Tout le quartier est sans Internet alors qu’on a payé l’abonnement mensuel. La coupure dure depuis une semaine. On les contacte, ils disent qu’ils travaillent sur le problème, mais rien, pas d’équipe technique","Qu’est-ce qu’on va faire ? Tout le quartier est sans Internet alors qu’on a payé l’abonnement mensuel. La coupure dure depuis une semaine. On les contacte, ils disent qu’ils travaillent sur le problème, mais rien, pas d’équipe technique",-ce faire quartier internet payer abonnemer mensuel coupure dur semaine contacte dire travailler problème rien équipe technique,-ce faire quartier internet payé abonnement mensuel coupure dure semaine contacte disent travaillent problème rien équipe technique,neutre,
Il n’y a pas de routeurs disponibles à Tébessa depuis plus de trois mois… ? ;,Il n’y a pas de routeurs disponibles à Tébessa depuis plus de trois mois… ?,Il n’y a pas de routeurs disponibles à Tébessa depuis plus de trois mois… ?,routeur disponible tébessa mois,routeurs disponibles tébessa mois,négatif,problème réseau
"Le projet de fibre, en une année, un seul quartier n’est toujours pas terminé. Qu’est-ce qu’on va faire ??? ;","Le projet de fibre, en une année, un seul quartier n’est toujours pas terminé. Qu’est-ce qu’on va faire ???","Le projet de fibre, en une année, un seul quartier n’est toujours pas terminé. Qu’est-ce qu’on va faire ???",projet fibre année quartier terminer -ce faire,projet fibre année quartier terminé -ce faire,négatif,problème réseau
"Quand ça arrivera chez nous, on verra ;","Quand ça arrivera chez nous, on verra","Quand ça arrivera chez nous, on verra",arriver voir,arrivera verra,positif,
Est-ce qu’ils travaillent les vendredis ???? ;,Est-ce qu’ils travaillent les vendredis ????,Est-ce qu’ils travaillent les vendredis ????,-ce travailler vendredi,-ce travaillent vendredis,négatif,problème réseau
"Panne depuis 3 mois, facture téléphone et Internet payée. Ils disent qu’ils n’ont pas ce système ;","Panne depuis 3 mois, facture téléphone et Internet payée. Ils disent qu’ils n’ont pas ce système","Panne depuis 3 mois, facture téléphone et Internet payée. Ils disent qu’ils n’ont pas ce système",panne 3 mois facture téléphone internet payer dire système,panne 3 mois facture téléphone internet payée disent système,négatif,problème réseau
Algérie Télécom – moi aussi j’ai le même problème… En voir plus ;,Algérie Télécom – moi aussi j’ai le même problème… En voir plus,Algérie Télécom – moi aussi j’ai le même problème… En voir plus,algérie télécom problème voir,algérie télécom problème voir,négatif,problème réseau
"Réglez la connexion, après ce sera facile… un peu de sérieux ;","Réglez la connexion, après ce sera facile… un peu de sérieux","Réglez la connexion, après ce sera facile… un peu de sérieux",régler connexion facile sérieux,réglez connexion facile sérieux,positif,
La question qui se pose avec insistance : où sont les modems 4G ?!?!?! ;,La question qui se pose avec insistance : où sont les modems 4G ?!?!?!,La question qui se pose avec insistance : où sont les modems 4G ?!?!?!,question pose insistance modem 4 gramme,question pose insistance modems 4 g,négatif,problème réseau
Pourquoi vous ne baissez pas les prix vous ? ;,Pourquoi vous ne baissez pas les prix vous ?,Pourquoi vous ne baissez pas les prix vous ?,baisser prix,baissez prix,négatif,offres commerciales
"Moi j’ai 100 mégas, je reçois 45. Le problème c’est qu’il faut changer le modem ;","Moi j’ai 100 mégas, je reçois 45. Le problème c’est qu’il faut changer le modem","Moi j’ai 100 mégas, je reçois 45. Le problème c’est qu’il faut changer le modem",100 méga-octet recevoir 45 problème falloir changer modem,100 mégas reçois 45 problème faut changer modem,négatif,problème réseau
"Merci beaucoup à vous, on espère une amélioration pour les abonnés de l’ADSL. Que Dieu vous garde en bonne santé et paix ;","Merci beaucoup à vous, on espère une amélioration pour les abonnés de l’ADSL. Que Dieu vous garde en bonne santé et paix","Merci beaucoup à vous, on espère une amélioration pour les abonnés de l’ADSL. Que Dieu vous garde en bonne santé et paix",beaucoup espérer amélioration abonné adsl dieu garde bon santé paix,beaucoup espère amélioration abonnés adsl dieu garde bonne santé paix,positif,
"Nous, en ADSL depuis 2014, vous n’avez jamais fait une offre. Toujours un Internet faible ;","Nous, en ADSL depuis 2014, vous n’avez jamais fait une offre. Toujours un Internet faible","Nous, en ADSL depuis 2014, vous n’avez jamais fait une offre. Toujours un Internet faible",adsl 2014 avoir jamais offre internet faible,adsl 2014 avez jamais offre internet faible,neutre,
Moi jusqu’à maintenant je suis encore avec l’ancien ADSL ;,Moi jusqu’à maintenant je suis encore avec l’ancien ADSL,Moi jusqu’à maintenant je suis encore avec l’ancien ADSL,jusqu’ ancien adsl,jusqu’ ancien adsl,positif,
Faites-nous parvenir la fibre ;,Faites-nous parvenir la fibre,Faites-nous parvenir la fibre,faites nous parvenir fibre,faites -nous parvenir fibre,positif,
"Quand ça arrivera chez nous, on parlera de débit ;","Quand ça arrivera chez nous, on parlera de débit","Quand ça arrivera chez nous, on parlera de débit",arriver parler débit,arrivera parlera débit,négatif,problème réseau
"Nous à Constantine, il n’y a pas de modems ;","Nous à Constantine, il n’y a pas de modems","Nous à Constantine, il n’y a pas de modems",constantine modem,constantine modems,neutre,
"Nous les abonnés ADSL, on est toujours avec la 2G ;","Nous les abonnés ADSL, on est toujours avec la 2G","Nous les abonnés ADSL, on est toujours avec la 2G",abonné adsl 2 gramme,abonnés adsl 2 g,positif,
"La connexion est très lente, modem 4G. On paie beaucoup et au final c’est trop lent. Facebook met longtemps à s’ouvrir. Réglez ce problème ;","La connexion est très lente, modem 4G. On paie beaucoup et au final c’est trop lent. Facebook met longtemps à s’ouvrir. Réglez ce problème","La connexion est très lente, modem 4G. On paie beaucoup et au final c’est trop lent. Facebook met longtemps à s’ouvrir. Réglez ce problème",connexion lent modem 4g. payer beaucoup final trop lent facebook mettre ouvrir régler problème,connexion lente modem 4g. paie beaucoup final trop lent facebook met ouvrir réglez problème,négatif,problème réseau
Lancez une offre 50 mégas à 2200 DA et laissez le peuple en profiter ;,Lancez une offre 50 mégas à 2200 DA et laissez le peuple en profiter,Lancez une offre 50 mégas à 2200 DA et laissez le peuple en profiter,lancez offrir 50 méga 2200 laisser peuple profiter,lancez offre 50 mégas 2200 laissez peuple profiter,positif,
Et est-ce que pour augmenter le débit Internet il faut une demande écrite et une copie de la carte d’identité ? ;,Et est-ce que pour augmenter le débit Internet il faut une demande écrite et une copie de la carte d’identité ?,Et est-ce que pour augmenter le débit Internet il faut une demande écrite et une copie de la carte d’identité ?,-ce augmenter débit internet falloir demande écrite copie carte identité,-ce augmenter débit internet faut demande écrite copie carte identité,positif,
"Le débit Idoom VDSL 100 Mo, c’est à quel prix ? ;","Le débit Idoom VDSL 100 Mo, c’est à quel prix ?","Le débit Idoom VDSL 100 Mo, c’est à quel prix ?",débit idoom vdsl 100 mo prix,débit idoom vdsl 100 mo prix,négatif,problème réseau
Est-ce que je peux passer de 10 mégas directement à 50 via l’appli My Idoom ou il faut aller à l’agence ? ;,Est-ce que je peux passer de 10 mégas directement à 50 via l’appli My Idoom ou il faut aller à l’agence ?,Est-ce que je peux passer de 10 mégas directement à 50 via l’appli My Idoom ou il faut aller à l’agence ?,-ce passer 10 mégas 50 appli my idoom falloir aller agence,-ce passer 10 mégas 50 appli my idoom faut aller agence,positif,
"Je suis à El Kal, 20 mégas, je paie 250 000 ;","Je suis à El Kal, 20 mégas, je paie 250 000","Je suis à El Kal, 20 mégas, je paie 250 000",el kal 20 méga-octet payer 250 000,el kal 20 mégas paie 250 000,positif,
Augmentez-nous le débit Idoom 4G ;,Augmentez-nous le débit Idoom 4G,Augmentez-nous le débit Idoom 4G,augmentez nous débit idoom 4 gramme,augmentez -nous débit idoom 4 g,positif,
"Quand vous nous installerez la ligne, on parlera des avantages. Cela fait 4 mois qu’on attend et le boîtier de distribution est à seulement 15 mètres de la maison ;","Quand vous nous installerez la ligne, on parlera des avantages. Cela fait 4 mois qu’on attend et le boîtier de distribution est à seulement 15 mètres de la maison","Quand vous nous installerez la ligne, on parlera des avantages. Cela fait 4 mois qu’on attend et le boîtier de distribution est à seulement 15 mètres de la maison",installer ligne parler avantage 4 mois attendre boîtier distribution 15 mètre maison,installerez ligne parlera avantages 4 mois attend boîtier distribution 15 mètres maison,positif,
"Le problème c’est que vous proposez des offres mais les services ne suivent pas. J’ai fait une demande pour installer l’Internet 50 mégas mais le problème, c’est qu’on m’a dit qu’il n’y a pas de modem depuis 15 jours au bureau d’El Eulma ;","Le problème c’est que vous proposez des offres mais les services ne suivent pas. J’ai fait une demande pour installer l’Internet 50 mégas mais le problème, c’est qu’on m’a dit qu’il n’y a pas de modem depuis 15 jours au bureau d’El Eulma","Le problème c’est que vous proposez des offres mais les services ne suivent pas. J’ai fait une demande pour installer l’Internet 50 mégas mais le problème, c’est qu’on m’a dit qu’il n’y a pas de modem depuis 15 jours au bureau d’El Eulma",problème proposer offre service suivre demande installer internet 50 méga-octet problème modem 15 jour bureau el eulma,problème proposez offres services suivent demande installer internet 50 mégas problème modem 15 jours bureau el eulma,négatif,problème réseau
"Quel débit ? Ça fait presque 20 jours et le câble est abîmé. On a signalé plusieurs fois, ils ne nous ont pas pris en considération et n’ont pas réglé le problème. Et tu viens me parler d’augmentation de débit ? Malheureusement, les services sont 0/10 ;","Quel débit ? Ça fait presque 20 jours et le câble est abîmé. On a signalé plusieurs fois, ils ne nous ont pas pris en considération et n’ont pas réglé le problème. Et tu viens me parler d’augmentation de débit ? Malheureusement, les services sont 0/10","Quel débit ? Ça fait presque 20 jours et le câble est abîmé. On a signalé plusieurs fois, ils ne nous ont pas pris en considération et n’ont pas réglé le problème. Et tu viens me parler d’augmentation de débit ? Malheureusement, les services sont 0/10",débit presque 20 jour câble abîmé signaler fois prendre considération régler problème venir augmentation débit malheureusement service 0/10,débit presque 20 jours câble abîmé signalé fois pris considération réglé problème viens augmentation débit malheureusement services 0/10,négatif,problème réseau
Vous coupez trop souvent ;,Vous coupez trop souvent,Vous coupez trop souvent,couper trop,coupez trop,négatif,problème réseau
"Idoom ADSL, toujours là ;","Idoom ADSL, toujours là","Idoom ADSL, toujours là",idoom adsl,idoom adsl,négatif,problème réseau
"Pourquoi chaque fois qu’on s’éloigne du modem la vitesse diminue, de pièce en pièce ? Quelle est la solution alors que j’ai 100 mégas fibre ? ;","Pourquoi chaque fois qu’on s’éloigne du modem la vitesse diminue, de pièce en pièce ? Quelle est la solution alors que j’ai 100 mégas fibre ?","Pourquoi chaque fois qu’on s’éloigne du modem la vitesse diminue, de pièce en pièce ? Quelle est la solution alors que j’ai 100 mégas fibre ?",fois éloign modem vitesse diminuer pièce pièce solution 100 méga fibre,fois éloigne modem vitesse diminue pièce pièce solution 100 mégas fibre,négatif,problème réseau
"Le câble est endommagé, j’attends qu’ils le réparent ;","Le câble est endommagé, j’attends qu’ils le réparent","Le câble est endommagé, j’attends qu’ils le réparent",câble endommager attend réparent,câble endommagé attends réparent,négatif,problème réseau
On attend toujours une offre sérieuse. Qu’ils nous installent la ligne et Internet. Ça fait 4 mois qu’on attend ;,On attend toujours une offre sérieuse. Qu’ils nous installent la ligne et Internet. Ça fait 4 mois qu’on attend,On attend toujours une offre sérieuse. Qu’ils nous installent la ligne et Internet. Ça fait 4 mois qu’on attend,attendre offre sérieux installer ligne internet 4 mois attendre,attend offre sérieuse installent ligne internet 4 mois attend,négatif,infrastructure
"Je paie 2000 DA par mois, combien dois-je ajouter ? ;","Je paie 2000 DA par mois, combien dois-je ajouter ?","Je paie 2000 DA par mois, combien dois-je ajouter ?",payer 2000 mois devoir je ajouter,paie 2000 mois dois -je ajouter,négatif,facturation
"Ceux qui bénéficient de la réduction, combien paient-ils ? ;","Ceux qui bénéficient de la réduction, combien paient-ils ?","Ceux qui bénéficient de la réduction, combien paient-ils ?",bénéficier réduction payer il,bénéficient réduction paient -ils,positif,
"La ligne ne permet pas plus, elle supporte au maximum 18.5 mégas ;","La ligne ne permet pas plus, elle supporte au maximum 18.5 mégas","La ligne ne permet pas plus, elle supporte au maximum 18.5 mégas",ligne support maximum 18.5 méga,ligne supporte maximum 18.5 mégas,négatif,problème réseau
"J’ai 50 mégas, dois-je changer de modem ou garder celui que j’ai ? ;","J’ai 50 mégas, dois-je changer de modem ou garder celui que j’ai ?","J’ai 50 mégas, dois-je changer de modem ou garder celui que j’ai ?",50 méga-octet devoir je changer modem garder,50 mégas dois -je changer modem garder,négatif,problème réseau
"25 jours sans connexion, j’en ai marre. À chaque fois ils disent : 'patiente', mais rien n’a été fait ;","25 jours sans connexion, j’en ai marre. À chaque fois ils disent : 'patiente', mais rien n’a été fait","25 jours sans connexion, j’en ai marre. À chaque fois ils disent : 'patiente', mais rien n’a été fait",25 jour connexion marre fois dire patient rien être,25 jours connexion marre fois disent patiente rien été,négatif,problème réseau
Rendez-nous les 10 mégas ;,Rendez-nous les 10 mégas,Rendez-nous les 10 mégas,rendez nous 10 méga-octet,rendez -nous 10 mégas,positif,
Pourquoi payons-nous le téléphone alors que nous ne l’utilisons pas ? ;,Pourquoi payons-nous le téléphone alors que nous ne l’utilisons pas ?,Pourquoi payons-nous le téléphone alors que nous ne l’utilisons pas ?,payer nous téléphone utilison,payons -nous téléphone utilisons,négatif,facturation
"Idoom ADSL – je paie 2000 DA pour un abonnement 20 mégas, je reçois 10 mégas. Et pendant le cycle, je ne dépasse même pas 1 méga… Tu essaies de comprendre, tu es perdu. La fibre, ça fait 3 mois qu’ils disent qu’ils vont nous la mettre, mais rien. Localisation : 1016, cité El Yasmine, Bir El Djir, Oran ;","Idoom ADSL – je paie 2000 DA pour un abonnement 20 mégas, je reçois 10 mégas. Et pendant le cycle, je ne dépasse même pas 1 méga… Tu essaies de comprendre, tu es perdu. La fibre, ça fait 3 mois qu’ils disent qu’ils vont nous la mettre, mais rien. Localisation : 1016, cité El Yasmine, Bir El Djir, Oran","Idoom ADSL – je paie 2000 DA pour un abonnement 20 mégas, je reçois 10 mégas. Et pendant le cycle, je ne dépasse même pas 1 méga… Tu essaies de comprendre, tu es perdu. La fibre, ça fait 3 mois qu’ils disent qu’ils vont nous la mettre, mais rien. Localisation : 1016, cité El Yasmine, Bir El Djir, Oran",idoom adsl payer 2000 abonnemer 20 méga-octet recevoir 10 méga-octet cycle dépasser 1 méga-octet essaie comprendre perdu fibre 3 mois dire mettre rien localisation 1016 cité el yasmine bir el djir oran,idoom adsl paie 2000 abonnement 20 mégas reçois 10 mégas cycle dépasse 1 méga essaies comprendre perdu fibre 3 mois disent mettre rien localisation 1016 cité el yasmine bir el djir oran,négatif,facturation
"Installez-nous la fibre, ça fait 6 mois qu’ils ont mis les poteaux et les câbles… Quand va-t-on installer dans les maisons ??? Rue de la gare, commune de Kadiria, wilaya de Bouira ;","Installez-nous la fibre, ça fait 6 mois qu’ils ont mis les poteaux et les câbles… Quand va-t-on installer dans les maisons ??? Rue de la gare, commune de Kadiria, wilaya de Bouira","Installez-nous la fibre, ça fait 6 mois qu’ils ont mis les poteaux et les câbles… Quand va-t-on installer dans les maisons ??? Rue de la gare, commune de Kadiria, wilaya de Bouira",installer nous fibre 6 mois mettre poteau câble -t on installer maison rue gare commune kadiria wilaya bouira,installez -nous fibre 6 mois mis poteaux câbles -t -on installer maisons rue gare commune kadiria wilaya bouira,positif,
"Je n’ai pas la fibre, je ne continuerai pas à payer. On souffre avec l’ADSL ;","Je n’ai pas la fibre, je ne continuerai pas à payer. On souffre avec l’ADSL","Je n’ai pas la fibre, je ne continuerai pas à payer. On souffre avec l’ADSL",fibre continuer payer souffrir adsl,fibre continuerai payer souffre adsl,négatif,problème réseau
"Dans les daïras de Saïda, ils les ont empêchés de finir les travaux sous prétexte qu’il faut d’abord terminer le raccordement de la wilaya avant de passer aux daïras. Sur quelle base ? ;","Dans les daïras de Saïda, ils les ont empêchés de finir les travaux sous prétexte qu’il faut d’abord terminer le raccordement de la wilaya avant de passer aux daïras. Sur quelle base ?","Dans les daïras de Saïda, ils les ont empêchés de finir les travaux sous prétexte qu’il faut d’abord terminer le raccordement de la wilaya avant de passer aux daïras. Sur quelle base ?",daïra saïda empêcher finir travail prétexte falloir terminer raccordement wilaya passer daïra base,daïras saïda empêchés finir travaux prétexte faut terminer raccordement wilaya passer daïras base,négatif,problème réseau
"Bonjour, ça fait presque un mois qu’ils ont installé le modem à la maison, mais jusqu’à aujourd’hui je n’ai pas Internet. Pourquoi ? On a payé, on a déposé plainte à Bir Mourad Raïs. Ils disent que ce n’est pas leur responsabilité, qu’ils ont fait leur travail. S’il vous plaît, débloquez-nous la connexion et la ligne, on en a besoin;","Bonjour, ça fait presque un mois qu’ils ont installé le modem à la maison, mais jusqu’à aujourd’hui je n’ai pas Internet. Pourquoi ? On a payé, on a déposé plainte à Bir Mourad Raïs. Ils disent que ce n’est pas leur responsabilité, qu’ils ont fait leur travail. S’il vous plaît, débloquez-nous la connexion et la ligne, on en a besoin","Bonjour, ça fait presque un mois qu’ils ont installé le modem à la maison, mais jusqu’à aujourd’hui je n’ai pas Internet. Pourquoi ? On a payé, on a déposé plainte à Bir Mourad Raïs. Ils disent que ce n’est pas leur responsabilité, qu’ils ont fait leur travail. S’il vous plaît, débloquez-nous la connexion et la ligne, on en a besoin",bonjour presque mois installer modem maison jusqu’ aujourd’hui internet payer déposer plainte bir mourad raïs dire responsabilité travail plaire débloquer nous connexion ligne besoin,bonjour presque mois installé modem maison jusqu’ aujourd’hui internet payé déposé plainte bir mourad raïs disent responsabilité travail plaît débloquez -nous connexion ligne besoin,négatif,problème réseau
"J’ai un modem Nokia fibre, je souhaite le changer si possible ;","J’ai un modem Nokia fibre, je souhaite le changer si possible","J’ai un modem Nokia fibre, je souhaite le changer si possible",modem nokia fibr souhaiter changer,modem nokia fibre souhaite changer,négatif,problème réseau
"Je vous demande de réparer la panne qui dure depuis 6 mois. Je ne comprends rien, aucune possibilité ni solution, tant pis ;","Je vous demande de réparer la panne qui dure depuis 6 mois. Je ne comprends rien, aucune possibilité ni solution, tant pis","Je vous demande de réparer la panne qui dure depuis 6 mois. Je ne comprends rien, aucune possibilité ni solution, tant pis",demande réparer panne dure 6 mois comprendre rien aucun possibilité solution pis,demande réparer panne dure 6 mois comprends rien aucune possibilité solution pis,négatif,service client
Ils m’ont changé l’abonnement 10 mégas pour me mettre une vitesse minimale de 20 ;,Ils m’ont changé l’abonnement 10 mégas pour me mettre une vitesse minimale de 20,Ils m’ont changé l’abonnement 10 mégas pour me mettre une vitesse minimale de 20,changer abonnemer 10 méga-octet mettre vitesse minimal 20,changé abonnement 10 mégas mettre vitesse minimale 20,positif,
